headline,incident_date,state,district,species,conflict_type,livestock_killed,human_injured,human_dead,summary,confidence,report_type,needs_review,source,url,date,village,article_body,body_status
Man walking towards Neelkanth shrine trampled to death by elephant in Uttarakhand - Times Now,2021-03-07,Uttarakhand,,Asian Elephant,Human Death,0.0,0.0,1.0,Man trampled to death by elephant.,0.98,single_incident,,Times Now,https://news.google.com/rss/articles/CBMiywFBVV95cUxNM1hvcnJfbnFZdV9SMVA1TWtzODllS215WldRSEpOTVZIbXZTUHA2SGNrUXRzUmdvM18zTEVkMVJ4TkFuUktCSVZXNkVCRG9qdElhWG4tcHl4Rl81Z0czNm9vYk9ZVFFfdU1VeC1qWEhsZ1ZOTXY4UkNLeXpTZDZ5bS1pX0p1bXhOUHIyQUpHZlZOd192NHNlaEdmNkxSNGJkTUlNd1QxTmY0Y0lVeHhFN0liRDRtdV9iR1g3Zjd6N1NtY2QyMzNhTzJaZw?oc=5,,,"Dehradun: An elderly man was allegedly trampled to death by an elephant in Uttarakhand when he was on his way to a shrine. The incident took place in Rajaji Tiger Reserve in Pauri Garhwal district. Dheer Singh, range officer Gauhri in Rajaji Tiger Reserve confirmed the incident.
Singh said that the elephant charged towards the 55-year-old man and trampled him to death. He said that efforts are being made to identify the deceased. The body of the elderly man was sent for a post-mortem.
Warning signages to be installed for safety
Singh said that they sought additional patrolling staff from senior authorities as incidents of human-elephant conflict have increased in recent years. Additional superintendent of police (ASP) Pauri Garhwal Manisha Joshi reached the spot after being alerted and conducted an inspection.
The senior cop ordered the increased deployment of police personnel and asked authorities to instal warning signages about elephant movement in the area, Hindustan Times reported.
On February 22, an elephant trampled another person to death at Phoolchatti road near Neelkanth shrine-Lakshman Jhula area in Pauri Garhwal district. The jumbo also walked into nearby shops and broke window panes of a goods transport van parked near the shops.
Forest range officer Pauri, Anil Bhatt said the deployment was increased in the area and locals were advised to exercise caution. He added that locals were asked to inform the forest department on sighting animals like leopards.","success(trafilatura, resolved_via_decode, 1491 chars)"
Minor Girl Injured in Jackal Attack in Jammu Kashmir - Kashmir Life,2025-04-19,Jammu Kashmir,,Jackal,Human Injury,0.0,1.0,0.0,Minor girl injured in jackal attack.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMijAFBVV95cUxQLUFiRUhuNW9wSEw3dHRpc3AxdEYzdEp5TnktVXo3ajVqZ2NZd2k0cEdnd0hXcjNNZi1EcmVOckhEU09pdElHNlBYSFlNcFJ0di1UYXgwcVRlajFaSUxvM3dJZUItbzgwRGRmQUM4LWtqZTl6eVBlR21pSjVGX0dkdFk3aExvZl9QbHE2UA?oc=5,,,"SRINAGAR: A minor girl was injured in a wild animal attack in the Sawjian area of Poonch district on Saturday.

An official said that the incident occurred in Cholla village of Sawjian sector when a wild jackal entered the house and attacked the child.

The injured girl’s name withheld, daughter of Sakinder Ahmed, aged around 5–6 years, was immediately shifted to hospital. After receiving first aid with some stitches, she was discharged, the official said.

The attack created panic in the area, prompting locals to urge authorities to address the growing threat of wild animals in residential zones. (JKNS)","success(newspaper3k, resolved_via_decode, 611 chars)"
Three Injured In Wild Bear Attack in South Kashmir - Kashmir Life,2026-09-09,Jammu Kashmir,,Asiatic Black Bear,Human Injury,0.0,3.0,0.0,Three people injured in bear attack.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMiigFBVV95cUxNazVRcERkamp1ZWo2UlM4NF91MDFRWGx6MnpRRF9Wd1hVODFzeEFWZTJZYXMtTWM5anBoT3lISzBRNFNMUVZTSkxiVmtPQk1YYUJsM25RTEhfUjRESjduTUZ6eGlDSjZ1ckFwUDJkN0t6dW9oZVowcGNNU3NvVzZhb0F2dG9ZYWlNOHc?oc=5,,,"SRINAGAR : Three women were injured after being attacked by a wild bear in the Batfujan area of Keller in south Kashmir’s Shopian district on Wednesday, officials said.

Quoting an official the news agency KNO reported that the women were attacked by the wild animal while they were in the Batfujan area.

He said the injured were immediately shifted to a hospital for treatment. They were identified as Maroofa Akhter, Firdoosa Akhter and Nusrat Gulzar, all residents of Batfujan.

Their condition is stated to be stable.

Meanwhile, further investigation into the incident has been taken up.","success(newspaper3k, resolved_via_decode, 593 chars)"
"Woman injured in bear attack in Tral, hospitalised - Kashmir News Observer",2026-09-11,Jammu Kashmir,,Asiatic Black Bear,Human Injury,0.0,1.0,0.0,Woman injured in bear attack and hospitalized.,0.98,single_incident,,Kashmir News Observer,https://news.google.com/rss/articles/CBMirAFBVV95cUxNb3hNMmphRjBaLUZLcWJScEFXeDltNmRWMDU5LUpGQTh4cU1aNXp4OFFSZGFfSnlCN2hwMURCOEM1RXV4R2Fuc1hxZEtYLXI1X1V5cXdac1hjcFNWTGdtSjhKNVV3MGM2UWZkakk2MVZqeWxfMmZ5QnZfUUhTTXJJQWM2b1dtX09yRzIzT3pFYXV6RHMwOVg1Mk9qWm1MejZwZENPZVhhUmxiSkhH?oc=5,,,"Srinagar, Sep 11 (KNO): A woman was injured after being attacked by a bear in the Handoora area of Tral in south Kashmir’s Pulwama district on Friday. An official told the news agency—Kashmir News Observer (KNO) that the woman was attacked by the wild animal in Handoora, leaving her injured. He said that she was soon shifted to Sub-District Hospital (SDH) Tral for treatment and was later identified as Hajra Begum, wife of Ghulam Ahmad Khan and a resident of Handoora. Meanwhile, locals have urged the Wildlife Department to take immediate preventive measures amid increased bear movement in the area.—(KNO)","success(newspaper3k, resolved_via_decode, 610 chars)"
Two injured in separate bear attacks in J&K's Banihal - Greater Kashmir,2021-07-04,Jammu Kashmir,,Asiatic Black Bear,Human Injury,0.0,2.0,0.0,Two people injured in separate bear attacks.,0.98,single_incident,,Greater Kashmir,https://news.google.com/rss/articles/CBMingFBVV95cUxPeDZDTUtVdmZueHZMQ2t2ZkNMTVdMZEs1VmhHWkFyVklIbUJTY1ZvQkNsUHBkSDFaZDdlRW9uSXBoYUpScHpLaVRJRXMtSXJUVHNSbENodEFLb1dwWmhiQVFBQWtyX2psaEF1RU4tM1Z0NjFadmtmd20zc2U4SWpZS3UwSFhwQ2xidGFJaTJ4VkdVMHVqYXdrRExGbElLZ9IBogFBVV95cUxNb2FjY3pNSzdzZUFPdFc5dWhCaWtlSmkxamxZY1poSEoxcDZtWHBCeHpGbVlrcnBUN3ZuSE1sRjNyLVd4V1hLN0ZlYTFWMjJudlRlampxRzF4clhqN3R6RVRpaHZGZGZLa1owZzF0S21STTh2akVxUHFfTVYyVUtqMTlUNnNWbDlVbFg5UmVGc0ZKNTEtQkRpWGJRalEzVnQ1ZkE?oc=5,,,"Banihal , July 4 : Two persons including a woman were injured in two separate bear attacks in Banihal area of Ramban district on Sunday.
Both the injured have been shifted to Emergency Hospital Banihal from where the man was referred to GMC Anantnag in view of his critical injures in the attack.
Officials told Greater Kashmir that the first incident took place in the Chapnari Guddar area of ​​Banihal on Sunday noon when, Wazeera Begum, a local woman walking near her house was attacked by a wild bear that appeared from nearby bushes.
The woman received injuries but was rescued by nearby villagers.
She was shifted to Emergency Hospital for treatment.
In the second attack, a nomadic Bakarwal was also attacked and injured seriously by a wild bear Sunday afternoon when he was grazing his sheep and goats in upper reaches of Kharpora Banihal.
The injured Bakarwal was identified as Mohammad Sharief son of Dawood Bakarwal, a resident of Kothi Jagir in Tehsil and district Ramban.
Volunteers from Banihal Volunteers group rushed the critically injured Bakarwal to Banihal Hospital from where he was shifted to Government Medical College Anantnag in view of his critical condition.
In-charge Wildlife Control Room Banihal Najamu Din Nayak told Greater Kashmir that after the two incidents of wild attacks, Wildlife teams from Banihal and Khari were dispatched to Chapnari and Kharpora upper reaches to drive wild beasts away from the area to avoid more wild and human confrontation.
He said compensation cases from wildlife department in favour of both wild animal attack victims are being prepared.","success(trafilatura, resolved_via_decode, 1602 chars)"
Jackal Leaves Three Persons Injured - Kashmir Life,2021-02-01,Jammu Kashmir,,Jackal,Human Injury,0.0,3.0,0.0,Three persons injured in jackal attack.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMidkFVX3lxTE4xZmVQUDVZRmo5Zy1YekZ6MERTWk1JU1lBNzl3N2RsRENSRmVQZHhuSTVPc0pXQlMwaWM0bnVMQTJvb1hKTWEzWm81eWRjdzYtM0RPTjAwcS1jTk5ySjZRcndDZlBmZl9DWFozR1lBVmctV25VY0E?oc=5,,,"SRINAGAR: Three persons were injured after a jackal attacked them in broad daylight by entering a residential house in Haril area of north Kashmir’s Kupwara district.

Reports said that the trio were inside a residential belonging to one Abdul Majid Wani at Haril, Langate area when attacked by the beast this afternoon.

Identifying the injured persons as, Abdul Majeed Wani son of Abdul Khaliq Wani, Umar Majeed son of Abdul Majeed Wani and Najma Bano daughter of Abdul Majeed Wani, a medical official at DH Handwara said that they have received three patients with different bodily injuries.

“All of them are out of danger and responding well to the treatment,” news agency the official added.","success(newspaper3k, resolved_via_decode, 697 chars)"
Jackal Attack Injures Five In Kashmir - Kashmir Life,2023-05-11,Jammu Kashmir,,Jackal,Human Injury,0.0,5.0,0.0,Five people injured in jackal attack.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMieEFVX3lxTFAtSHRjdDlvbXFRdHFIWE5tOVZ2Uk5Xd0tyQWwwOG0zME1GWnNyMkdVdmNDX1VvWi1xVjg5LUo2bkpmMzRqWnpPZlJVNTB5NzhvLUtvaWR5V3ZESXVaaHNLTHAxOG1tUEZSU1h0SVNmRDFKWUJnRWRDZA?oc=5,,,"SRINAGAR: At least 5 persons were injured after being bitten by a jackal in Tarzoo area of Sopore in north Kashmir’s Baramulla district on Thursday.

An official said that a jackal appeared in the village and bit at least 5 persons.

He said that soon after the incident, the injured were admitted to a nearby hospital for treatment. “The condition of all the injured is stable,” he said.

The locals, however, alleged that they had already informed the department concerned about the wild animal roaming in the area but no action was taken.

Meanwhile, wildlife officials have advised the residents to stay cautious while working in orchards or areas where wild animals roam freely. (KNO)","success(newspaper3k, resolved_via_decode, 689 chars)"
2 injured in bear attack in Shopian - Greater Kashmir,2021-08-05,Jammu Kashmir,,Asiatic Black Bear,Human Injury,0.0,2.0,0.0,Two people injured in bear attack.,0.98,single_incident,,Greater Kashmir,https://news.google.com/rss/articles/CBMigwFBVV95cUxOcENuUDRHOVllYmNyekstUG44NC1mQ1g3YmhKeVdMWTdHeTNSVGROSFR4RGN5YV9fTVVXUHA4VFZhSHJXYTVXZVVNbmRfbU9LWFVQY3pqWmgyYUlfLWN5Z0xlQm5lQVhEeVoxRU5aTGxROXNoNXZ6YWY4Q2hOZkVfWVRRMNIBhwFBVV95cUxOc1pzc2xzSTA3c0o1aDFMbWEyeFlCZ0ctQnQ5SDB6RjZQZ25Xa0RMdXhZNFZLTFZlRHZxTDV2WDY3ZVMyMm14eVpDWTBWQnp1TGtZRUhQRWt2V0NfWEM5WE5aMVZnNVI3ajdOSUxuR2tnSXRENVpHdldJNVYtQU1jOXpySjVfVms?oc=5,,,"Shopian, Aug 5: Two persons including a Wildlife official were injured in a bear attack in Chitarwach Imam Sahab village of south Kashmir’s Shopian district on Thursday.
An official said that the locals in Chitrawch village, some 12 km from Shopian town, spotted a black bear in the area and immediately alerted the Wildlife department.
He said that a team was dispatched to the area to capture the animal.
According to the official, as the team showed up in the area, it came under the attack of the bear, leaving a Wildlife official injured.
“Earlier, in the morning, the bear attacked a local and caused grievous injury to him,” the official said.
“The injured were immediately rushed to the nearby hospital for treatment,” he said.
The injured official was identified as Irfan Ahmad Parray of Zawoora.
The official said that the bear was finally captured by the Wildlife officials and would be released into the wild.
Since winter, many incidents of wild animals straying into local habitations have been reported from Shopian wildlife division comprising Shopian and Pulwama districts.","success(trafilatura, resolved_via_decode, 1090 chars)"
Leopard Captured After Attacking Elderly Man In Jammu And Kashmir - NDTV,2022-09-26,Jammu Kashmir,,Leopard,Human Injury,0.0,1.0,0.0,Elderly man attacked by leopard.,0.98,single_incident,,NDTV,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWWlGaDIwTnd2Qk9qVDJkeVRnMjBvUTNJUDU4eWdkNE5PM091a1BRaFdvSXNvT2hObDBidUhGd0NraDVNOF9ZVWxOTmRhQm1uaThqSjdVOVUtSGltWHNhREtyRDI1al9VMXcyLW1mTlhPVWg0cjdpRXlVUHRjenRVSXczcUNWUVYzbm1neFdDMkltS003VkRwcmFLLWxtM3RraW9GLXN6T3rSAbABQVVfeXFMUG04UlZ5OUZQS0ZEUmoxRlpVNS01am95LV9pTFVWQjdnVFRDUnB4a19uMExfNWNHNnN3MTYxeVBqNWQzU2xNTUVPRXh4VzBWbG1hMU11TktsWG1QOEhBZUdVdWpLeTZ4dkY5X0E4eHh1WVlvb0lWaUljNXpfTTEzbU03ZmhBZXJ0M29mYzdnZ19GMFhHb0l1TGhPbDJOd1N3Z1cyNER5by15NkhiUEpzMnA?oc=5,,,,extraction_failed(page_fetch_failed after resolved_via_decode)
"Uttarakhand: Day after ‘revenge killing’ of trapped leopard, 150 booked in Pauri Garhwal - The Times of India",2022-05-27,Uttarakhand,,Leopard,Retaliation Against Wildlife,0.0,0.0,0.0,Revenge killing of a leopard reported.,0.95,single_incident,,The Times of India,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNWkROT05wdUp1czRWUy1FUV9TZ0tVakUteFMwUHJSM2RaOXdzWjdQRHk0bDVXQnZPT3ItdjFmSUJtTGVNZ0lsZXppXzU0TmxaQ3dxZzdGSDhBWEE4WFlpb1JNUEFoQ2ZKWnVtNURzaXlvN1YzM2RXY21VMGtSLWlvODl1YVVUaXpsY2lQZ3A4TER4M0drTWZlVXNNcl9EQ3BNbVo2TXAyRy1LemxiX3ZSaDgydGtfT3NFOGVyaTJwN2RMV2wyazBMeXBtLW10Q1IyME4tV1ZGRl9qT1VmdjBpWNIB5gFBVV95cUxPSmJXbS1Zb2E0TXBySVU3VXllcnRmN2JGOXBxcWVNWkk3eXJyRWgzeGFwaFVYdC1zVTZFQUVwV2FnMlZUNXdIdDMwUVpFMGtnYklxLXFtWlNIdlpZcmZPVFd0WlppdlhlZEcxM1Z0TmRWdk5oRDhhMlMwdnA5dFFUSnpLd0xlMThDcjFtTlNtMEEzRVNLdi1HNnlXV1RhQTNLdmNsUWxvYnVHZjZYdGZLa2xoeEJ0ekJRUE5pV0gyUk4wNHBvY1NjTHNDa0s3bU9kVDM1SHVTSlNicVhFem1aQXdDcmdWdw?oc=5,,,"DEHRADUN: A day after a seven-year-old male leopard was burnt alive by a mob in Pabo block of Pauri Garhwal on Tuesday, 150 villagers were booked on the complaint of forest officials. Meanwhile, the role of forest authorities and police has also come under the scanner. 
The divisional forest officer (DFO) of Pauri, Mukesh Kumar, said, “An FIR has been lodged against 150 people of three to four villages, some of them unknown.
An investigation is underway to ascertain the events that led up to the crime.”
Meanwhile, Anil Rawat, pradhan of Saplori village, who himself has been booked, claimed section 144 wasn’t imposed in the village, as mandated by the National Tiger Conservation Authority (NTCA) in case a carnivore wanders into a human habitat, which led to a mob surrounding the cage.
The incident, which has been called a “revenge killing” by forest authorities as it was probably the same leopard that killed a 47-year-old woman on in Saplori village of Nagdev forest range on May 15, took place at 11am on Tuesday.
Cages with dogs were installed at two spots to trap the leopard and the feline walked into one of them around 5:30am. Anil Rawat said while a forest team arrived at the spot in the next half an hour, residents demanded to speak to the DFO and the ranger. ""People from neighbouring villages, some of whom had lost their children and other family members to leopard attacks, also gathered at the place. They waited for hours for the senior forest authorities to arrive, demanding to know what measures would be taken to prevent such attacks in future. Emotions ran high, as people felt they were not heard,” he said. 
""Senior forest officers arrived around 11 am, but by then the mob overpowered them, threw dry grass and petrol on the cage with the leopard in it and set fire to it,"" a villager told TOI. 
Ambika Rawat, daughter of the woman who was killed, feels there was nothing wrong in burning the animal to death. “Villagers waited for almost five hours for forest authorities to arrive and listen to their concerns. After waiting from 5:30 am to 11 am, they lost patience and took matters into their own hands. We live in constant fear of death, I lost my mother to a leopard attack,” she said.
Tuesday’s incident is a hark-back to a case of 2011, when some people of Dhamdhar village in Pauri torched a man-eater leopard in front of forest and police officers. An IFS officer, on the condition of anonymity, said, “The state government withdrew the case filed against perpetrators of the Dhamdhar incident. Such leniency emboldens people.” 
Another IFS officer, on condition of anonymity, said, “NTCA guidelines clearly state that the district administration must implement section 144 when wild carnivores like tigers or leopards stray into human habitats. When that isn’t done, mob management becomes difficult. At times, forest officials struggle to save their own lives, forget that of an animal’s. Human-wildlife conflict requires the cooperation of all stakeholders, not just the forest department.""
Personnel of the revenue police, under whose jurisdiction the area falls, were nowhere to be found on the spot, alleged villagers. 
When asked why the district administration didn’t take pre-emptive measures, Pauri Garhwal district magistrate Vijay Kumar Jogdande said, “Our staff members were already there when villagers forcefully took over the cage. These allegations are made by the accused to save their skin.” 
In December last year, the forest department had started a sensitisation programme in collaboration with an NGO for villagers in hilly areas of Uttarakhand, where leopard attacks were rampant. Pamphlets and calendars in regional languages on ways to understand a leopard’s behaviour were distributed. The programme was a success in Tehri, where fatal encounters with leopards were reduced considerably.
So far this year, at least 10 people have died in leopard attacks in Uttarakhand, a majority of them in Almora, Pithoragarh and Pauri districts. According to experts, 60% of all deaths in human-animal conflict incidents occur due to leopard attacks in Uttarakhand.","success(trafilatura, resolved_via_decode, 4126 chars)"
Kashmir: Locals worried after leopard kill children in border town - Maktoob,2022-10-04,Kashmir,,Leopard,Human Injury,0.0,0.0,0.0,Concern over children killed by a leopard.,0.9,single_incident,,Maktoob,https://news.google.com/rss/articles/CBMirgFBVV95cUxOUmVCNk5LNkVTeG5YdGpNYV83MWR6cXQ4TVJoUkNDMld1NUxzdnExUjRuanc4b0tXRlNtQmxEY2VoSVJNZ0V5S1BFeGRDamdja2FKMjRxM3Jjbk1ydlkxMTBqT0EyYndVZXpHUVVET19ubG4tczE4WFVzb005LTJaSkFVaV9mTGNYNm1Sb3hOeDkwVzdoQXFVNnNqajFhbzZSNHpYYUhzTVNTcUtfaVE?oc=5,,,"Wildlife team during a search operation which was launched in MuliNag Dhani-syedian area of Uri Baramulla after two minors were killed by a man-eater leopard. Photo: Bhat Yasir

Syed Abbass Hussein is a wretched father whose child fell prey to a leopard on the evening of 22 September in Moli Nag, North Kashmir's Uri. Syed’s seven-year-old son, Ali Hussein was captured outside his home and killed by the ""man-eater"" animal.

Later, with the help of locals, Ali's body was recovered in a nearby forest.

This was the second fatal attack in seven days in Uri, Kashmir's border town. On 16 September a minor girl was killed by a leopard in the Jabadar Gawashar area of Bijhama Uri.

In June this year, the leopard killed three minors in the same sub-division. Later, the leopard was eliminated by the wildlife department.

“They were just a few steps away from the home when the leopard came and took one of them,” Abbass, who now lives at his Maternal uncle’s home in Dhanisyedan village, told Maktoob.

Ali was with his brother right outside his house, when he was attacked.

“My elder son.” Who fortunately is safe, “called and came to me. But the light was dim as it was evening time,” Syed said. He said, “I started searching, but due to the unavailability of lights I couldn’t find him.”

“Then the people of my village and mohalla joined me, we found his body in nearby bushes.”

Abdul Qayoom, block officer of Baramulla wildlife department said that they received the information about the leopard attack in the Dhani-Syedian area and reached the spot.

“We reached here at the spot and joined the operation along with locals,” he told Maktoob.

He said that the wildlife team was present there since the minor girl was killed by a leopard.

“It’s unfortunate that this happened after that,” he added.

“So far no clue has been received. It is a large forest area that is why it’s difficult to find him,” Qayoom said.

According to Qayoom, the reason for the frequent attack can be that when the leopard is old and isn’t able to find prey, “children become easy prey.”

Chief wildlife warden Jammu & Kashmir has issued an order, which is valid for 15 days, to eliminate the man-eater leopard only after fulfilling all the possible conditions.

“The sanction accorded above is subject to the fulfilment of following terms and conditions: That it shall be ensured that all efforts to capture the animal through trapping by cages or tranquilizing have not been successful. That proper identification of the leopard be ensured before it is hunted ensuring that no animal is hunt on account of mistaken identity. That it should be also ensured that this permission is not misused by any organization/ individual to avail the opportunity for hunting any other leopard in the area under the garb of this permission.

That the possession of the dead body, if and when hunted, shall be taken over by him. That the postmortem of the dead body of the animal as and when taken over shall be conducted in presence of the Wildlife Warden, North Division, Sopore and the same submitted to this office for reference and record. That the dead body of the animal shall be disposed off by complete burning it to ashes in presence of the Wildlife Warden, North Division, Sopore. That this permission is valid for 15 days only from the date of its issuance,” the order reads.

Clarifying the Involvement of the same leopard in both attacks, An official in the wildlife department said that “staff is monitoring, most probably same, staff was monitoring the situation since last weak. People don’t listen.”

A local resident, Syed Mushtaq Hussain, said that the situation in the area is very bad, “everyone is terrified.” He said “Children are afraid. If a man or woman goes alone anywhere feels their life is in danger.”

“Our children are at great risk, they are not going out of the home. This is happening the first time that the leopard is attacking children,” he added.

Another local resident, Syed Amin Shah, responding to reports in which they were advised to come down from the forest areas, said “the government is telling us to come down from this area. We are the permanent residents of this village, farming here. Why should we come down?”

“Few days before we had requested people to come down but they don’t listen,” A wildlife official said.","success(newspaper3k, resolved_via_decode, 4343 chars)"
Leopard attack: Minor girl missing in Uri village - Rising Kashmir,2022-09-17,Jammu and Kashmir,Uri,Leopard,Human Injury,0.0,0.0,0.0,A minor girl is reported missing after leopard attack.,0.88,single_incident,,Rising Kashmir,https://news.google.com/rss/articles/CBMigAFBVV95cUxNU0xuVXBDMTdXN3FOV1hFd3VaaXBrWTRSQ0NrZDJSODJybVpuOXJOMWFjNGMyeE5sNm5hY2lScEUzb0g3TWhIX01zUW5SakpBQmQtaVp5R1JsSGgydThYVzg4Y0Y1eVlYdlhhVDN4RkpXY0FqVFFIZVhTbmF5QmdZRQ?oc=5,,,"Noor Mohi-ud-din
Baramulla, Sep 16: A minor girl was pounced on and was taken away by a wild animal near her home in Gawashar village of Uri in north Kashmir's Baramulla district here on Friday evening. 
Police identified the minor girl as Munaza, daughter of Mohammad Imran Baig. 
An official said that a leopard pounced on and lifted the minor who was playing near her house.
The official said that the family members tried to chase the leopard but it disappeared into the forest area. 
Police said that a search operation with the help of locals is going on to trace the minor girl.
This is the fifth such attack in the Uri area of district Baramulla where a wild animal attacked the minors near the forests during this year. 
Earlier in the month of June, three minors were mauled to death by a leopard in Uri subdivision of Baramulla district. 
On July 13, Sameera Javid, daughter of Javed Ahmed Khater, a resident of Choolan Kalsan was wounded in a leopard attack while she was playing near her house. 
On June 13, a 12-year-old girl Rutba Manzoor, daughter of Manzoor Ahmad Bhat was lifted by a leopard at Batangi village of Boniyar and taken to a nearby forest. Her dead body was later on found in the nearby dense forest.
On June 12, 2022, a teenager Shahid Ahmad Ganaie of Ganie Mohallah Trakanjan Boniyar was lifted by a leopard. His mutilated (devoured) body was recovered from the adjoining forest area. 
On June 11, 2022, a minor boy Amir Muneer, 15 was lifted by a leopard in Gatti Kalsum ChoIan Boniyar (Uri). His dead body was recovered from a nearby forest.","success(trafilatura, resolved_via_decode, 1575 chars)"
"16 sheep killed, 17 injured in leopard attack in J&K’s Budgam - Tripura Chronicle",2026-09-10,Jammu and Kashmir,Budgam,Leopard,Livestock Attack,16.0,17.0,0.0,Leopard attacked livestock in Budgam.,0.95,single_incident,,Tripura Chronicle,https://news.google.com/rss/articles/CBMiowFBVV95cUxOV04yTFdOa2pPdW02emZEaW5TczZjS1NZcXpjZ1JvS2RNRHB5dExqcktUWm9zVWxyczNoMzc0d2xhQzRrMWZDdk04N25iREdLeHNhaDgxdWVocUYzQzFLMW13STRUS1BHSXJSanFyT1V5RWEzOTY3dHpxZXFBVENjSUJPSEs0blpxLWthZmtPdVhLY2lLRUFrN19Da0QxQXcxZmpZ?oc=5,,,"Srinagar, Sep 10 (IANS) As many as 16 sheep were killed and 17 others injured in a purported leopard attack on a flock in J&K’s Budgam district early on Thursday.
The flock was attacked in the Chadoora area of Budgam during the intervening night of Wednesday and Thursday.
The owner of the flock, Imtiyaz Ahmad Chopan, told some reporters that a leopard had attacked his sheep, though the animal’s identity is yet to be confirmed.
He said the animal entered the livestock enclosure in Badipora village of Chadoora during the night and attacked the flock.
“We depend on livestock for our livelihood, and the incident has caused significant financial losses for us,” he said.
The flock owner appealed to the government and departments concerned to provide immediate assistance and compensation for the loss of livestock.
Meanwhile, locals also urged the Wildlife Department to inspect the site and take necessary measures to prevent further attacks in the area.
Wild predators like Asiatic black bears and leopards frequently enter human settlements in Jammu and Kashmir due to severe habitat loss, climate change, and dwindling food sources in the wild.
Between 2020 and mid-2025, Jammu and Kashmir recorded over 17,200 human-wildlife conflict incidents, resulting in more than 100 deaths and nearly 1,100 injuries. Asiatic black bears and leopards cause the majority of attacks, straying into villages, agricultural fields, and apple orchards.
The chief reasons for human-animal conflict in J&K are unplanned development, deforestation, and the conversion of buffer zones into residential areas or orchards, which shrink natural spaces.
Open garbage dumps, livestock, and abundant fruit in orchards near forest fringes attract predators repeatedly.
Irregular weather and shifting snowfall patterns reduce natural forage and water availability in higher elevations, forcing animals down into human habitations.
–IANS","success(trafilatura, resolved_via_decode, 1915 chars)"
Minor boy killed in leopard attack in Kupwara - Rising Kashmir,2022-10-09,Jammu and Kashmir,Kupwara,Leopard,Human Death,0.0,0.0,1.0,A minor boy was killed in a leopard attack.,0.96,single_incident,,Rising Kashmir,https://news.google.com/rss/articles/CBMifEFVX3lxTE12Q0NwSkl2NXBycW9oaVVlRDBGMzdVOFQwaEJRclAyR21ZdzRTUFNja2Rrak42N1ROZmhwOG5VaEZfTGN0RWVFa0FNWkw0VEszdFdlemsxZ1U3Q2Z1dlNhcFg1TUp2LURqMWNMdnVoRnYwa2o2bURnMUREZmg?oc=5,,,"A minor boy was killed in a leopard attack in Rajwara area of north Kashmir’s Kupwara district o Sunday.
Official sources told that the wild animal attacked the boy at Golipora Rajwar this evening and took him towards a nearby jungle.
Family and locals immediately launched searches and recovered the boy, Yasir Ahmad Jinder (5) son of Bashir Ahmad Jinder, in severely injured condition. Even though family and locals shifted him to NTPHC (New Type Public Health Centre) Behnipora, the doctors declared him brought dead on arrival, they added. (GNS)","success(trafilatura, resolved_via_decode, 549 chars)"
Leopard Kills 3 Children In Jammu And Kashmir - NDTV,2022-06-14,Jammu and Kashmir,,Leopard,Human Death,0.0,0.0,3.0,Three children were killed by a leopard.,0.97,single_incident,,NDTV,https://news.google.com/rss/articles/CBMijgFBVV95cUxObDhpYkdldnJsTVEzZUVpUUE1YXFld1doYUUxcldjUXZSNllGVm1xS3NsRm1tSHlIYXdfMDVMcnd3QUtuSFhEWVRqdkFWREJ4aWFkc0FBVjRfM0g3NGRockhLX09DU3Jtb2xUOUZJWW5IbEFTcUtwY3RERzJwVkhjX0M0WXc2cGRmRXN6ZGtB?oc=5,,,,extraction_failed(page_fetch_failed after resolved_via_decode)
