headline,incident_date,state,district,species,conflict_type,livestock_killed,human_injured,human_dead,summary,confidence,report_type,needs_review,source,url,village,article_body,body_status
"Leopard breaks into Kufri’s Himalayan Nature Park enclosure, kills aged ‘Sheru’ - The Indian Express",2021-06-11,Uttarakhand,Pauri Garhwal,Leopard,Human Death,0,0,1,Leopard kills 55-year-old woman in Pauri Garhwal.,0.98,single_incident,,The Indian Express,https://news.google.com/rss/articles/CBMixwFBVV95cUxNdVlDS2Z2QzhDLVBLakJzbGdUT294WG9SNFVocER2M0RTdVYzaTNnbTRiM0hRUG9CZFYtaGtWdWVDcWQyaWVjQkppR1JBSVRMT21oWjRVVDBwNHF1N3ZWVkx5YUZoMW1KemFJVGEyMnc5OFl0UjBLTDJ4Q0tHZnJPTUFiVHNzbUdhUnlxN25NVDRTaF9OYWxNMjlsazJ6Z0hDQ0ZnSXhxR1NieWw1eWtZN1ZVMXNNNmgtNjcxVWtJLV9DaUNZODZN0gHOAUFVX3lxTE1vSVpnYk9jMHJqRDJfdEtrTWNaaWN0Z1BkWHpzYzV1aGhyMGZlbUxVZ1c3b01KUE4zUHc1T1pzeGluNGl3ckJFcXdPM2FkRHVLZlVCNEhvdWlpUUdYSWlyZkZDWGNETFdkRnB0Y09ZanFSVF95aTFLUWRnLUd4VG55b0ozZE1iWHhELWNtdVB6dzAyMnBCem00VV9TZERUVU5zcnFKdlc2RzZoZWJoUEk0SkU1RjRZcXZmMkZxMmQ0SWwyc3MteVY1Qi13SS1n?oc=5,,"Saurabh Parashar is an Assistant Editor at The Indian Express, primarily responsible for the publication’s coverage of Himachal Pradesh. He is a seasoned journalist with over 17 years of experience in print media, specializing in crime, legal affairs, and investigative reporting. Professional Background Education: He holds a Master’s degree in Mass Communication from Guru Jambheshwar University of Science & Technology (Hisar) and a Law degree from Himachal Pradesh University (HPU), Shimla. This legal background significantly informs his reporting on complex judicial and administrative matters. Career Path: Before joining The Indian Express in 2017, he spent 12 years with The Times of India. Core Beats: His primary focus is the socio-political landscape of the hill state, with a specific emphasis on the environment, forest conservation, drug menace (specifically ""Chitta""), affairs related to tribal and archaeology and the unique challenges of governance in high-altitude regions. Recent Notable Articles (Late 2025) His recent reporting highlights the critical intersection of policy, law, and social safety in Himachal Pradesh: 1. ""Himachal’s battle against Chitta: Why the border areas are most vulnerable"" (Late 2025): An investigative look at the transit routes from Punjab and the impact on local youth. 2. ""Shimla ropeway clears key hurdle as 820 trees face the axe :According to the Forest Survey of India’s 2021 assessment, 47.21 percent of Shimla’s 5,131 sq km geographical area is under forest cover (Nov 17, 2025). 3. ""Himachal to handover 2.7427 ha of non-forest land for Shimla Ropeway: Given the land’s non-forest nature, RTDC and the state will not require permission from MoEFCC"" (Nov 18, 2025) 4. ""How the centuries-old Jodidara tradition is fading in Himachal’s Trans-Giri region: Jodidara: a form of fraternal polyandry—has long been part of Hatti tribal culture in the Trans-Giri region of Himachal Pradesh and adjoining Uttarakhand. It is believed to have evolved to prevent division of ancestral land and maintain unity among brothers in the harsh, mountainous terrain"" (Aug 18, 2025) Legal & Agricultural Affairs ""Kisan Sabha hails SC’s setting aside Himachal HC order to remove orchards from forest land"" (Dec 18, 2025): Covering a major Supreme Court victory for farmers, where a High Court order to remove fruit-bearing apple orchards was overturned. ""Himachal Cabinet nod to new tourism policy; focus on home-stays in tribal areas"" (Dec 11, 2025): Detailing the legislative push to decentralize tourism and bring economic benefits to Lahaul-Spiti and Kinnaur. 3. Governance & Environment ""Forest rights and development: Why Himachal is seeking more leeway from Centre"" (Dec 19, 2025): Reporting on the legal hurdles faced by the state in infrastructure projects due to the Forest Conservation Act. ""Cloudbursts and resilience: How Himachal’s remote villages are building back better"" (Nov 2025): Following up on the long-term rehabilitation efforts after monsoon-related disasters. Crime especially cyber crimes, crypto currency etc: crypto currency: ""Agents in uniform, motivational speeches, lavish parties: How a Himachal crypto con went unnoticed:A serial conman, a ‘Nelson Mandela Nobel Peace Award winner', and retired policemen got together to pull off a Rs 1,740-crore fraud"" (Nov 10, 2023) Signature Beats Saurabh is recognized for his tenacious reporting on the state's drug epidemic. His deep familiarity with the topography and tribal culture of Himachal allows him to report from remote locations like Spiti, Pangi, Shillai, which are often overlooked by national media. His legal expertise makes him a primary choice for covering the Himachal Pradesh High Court on issues ranging from local body elections to environmental PILs. X (Twitter): @saurabh_prashar . ... Read More
Stay updated with the latest - Click here to follow us on Instagram","success(trafilatura, resolved_via_decode, 3896 chars)"
Leopard kills 42-yr-old in Pauri; third death in district in a month - The Times of India,2025-12-05,Uttarakhand,Pauri,Leopard,Human Death,0,0,1,Leopard kills 42-year-old in Pauri; third death in district this month.,0.98,single_incident,,The Times of India,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNcDJMOUVkSElLNFVXWVpHVk5wZnl3bnZSdWJ0c0tTeHN5OUkzUjZnbGVBQkF4ZW5wSzJwUEFlUmNIR1RnNTJhbFpDSG11ZHJPZUN2T3BRdl9aakdkenJYbHhOZS12c1Y0ODB5NmJGb0cyVnYyY1BkMktPM1pUeEpaODh6dUJoTjJiSDVqUVAwZDZWc0gwd3d0S0ZTNl9JQTcyV2pPYVl1Q3UyMlhjTHVXQTdMTVdVeTR3Tm5KQ2tZa2djeU9NWWdaMU0tc3BmZmxFSzZZSG83R2p5d0nSAeABQVVfeXFMTmZGS3NSTU0wVzFRdnJXdVM0aTlLLWZaQ0JhM0JjWHlJZnhEVWlFSnFkdHhCZUYzUG9CYUlhampGcFVEMVY3WGhObG9iWkFzMXNRV3dwQU4xdE5hLUtFUHcyOXludllOZzdaczRSelBWTzZRTWF1Z3Nvd0xhNV9rVURHY2NoZDRZVEw3ejdZS2JTdU5pZmdDVTNqTGRzME1OSVZ5cEFIN19zNEI2MWp6U0JneVZzWUx4TlBKNGc2bU5PR2dMc3piZmpLMGZpSmZxT3dneFVoUFV6elZ3UTdYVVk?oc=5,,"Dehradun: A 42-year-old man was mauled to death by a leopard in Pauri Garhwal on Thursday, marking the district's third fatal attack within a month. Rajendra Nautiyal was returning home when the leopard attacked and dragged him into nearby bushes. His body was later recovered by villagers and a forest department search team.
The incident has intensified public anger over rising humanâwildlife conflicts in the region. In recent weeks, attacks in Koti and Pokhra claimed the lives of two women, while a four-year-old boy sustained a head injury in a suspected leopard attack, forest officials said.
Villagers refused to take Nautiyal's body until authorities ordered the animal's elimination and senior forest officials reached the site. ""His body was eaten by the leopard â the stomach was gone. He was attacked near a river while going about his morning routine. This is not an accident; the animal attacked and ate him. It is a man-eater,"" said Sachin Kumar, a resident.
Earlier, residents in Koti had staged a protest, blocking a state highway for two days. Authorities eventually issued orders to trap or tranquilise the leopard, and one animal was captured following the agitation.
After Thursday's attack, district magistrate Swati Bhadauria and senior forest officials reached the village to pacify residents. Bhadauria met the victim's family â who lost their sole breadwinner â and assured support.
Pauri Garhwal divisional forest officer Abhimanyu Singh said two teams of 15 personnel have been deployed to track the leopard. ""Two departmental shooters, two cages, and camera traps have been placed to trap the animal. If that fails, it will be eliminated,"" he said.
Singh added, ""Maximum attacks are recorded in Nov and May as this is a weaning period of cubs, which makes the mother defensive. Also, increased human movement in forests to collect fodder and wood after the monsoon makes the attacks likely as dense vegetation reduces visibility and provides cover for wildlife.""
Residents have been advised to avoid forested areas at dawn and dusk, and to move in groups with lights and sticks. An anganwadi centre in the area has been closed for four days.
According to forest department data, leopards have killed more than a dozen people in Uttarakhand this year.","success(trafilatura, resolved_via_decode, 2281 chars)"
Hundreds Leave Villages In Uttarakhand's Pauri As Leopard Attacks Rise - NDTV,2022-09-02,Uttarakhand,Pauri,Leopard,Retaliation Against Wildlife,0,0,0,Hundreds leave villages due to increase in leopard attacks in Pauri.,0.98,aggregate_period_total,,NDTV,https://news.google.com/rss/articles/CBMirgFBVV95cUxNZ2hjb1J5cjc3WHFsY2tOck15N0VJU0EyUThSOHNBeFYzcEc1eHdncWpZdkJwaThVYTRmX1BjTFNFLXFIaXpkem1sdkdEX0FkMXlDWDNwNkVfcFNJbHlwbW82SXhrdS10UUI5RTZ5SVdwRm1sOHRaekNIRXdpN1BQSTdxMWI4TEFsMzVGZDJITDVtbXRFanFzTC1LaXZDdDFjVUc2TTRLLTA5V01iWUE?oc=5,,,extraction_failed(page_fetch_failed after resolved_via_decode)
Fear of attacks by leopards leaves Uttarakhand with 700 ‘ghost villages’ - The Times of India,2022-09-06,Uttarakhand,,Leopard,Retaliation Against Wildlife,0,0,0,Fear of leopard attacks leads to ghost villages in Uttarakhand.,0.98,aggregate_period_total,,The Times of India,https://news.google.com/rss/articles/CBMizAFBVV95cUxPV2lMdTRvcmc3bkJTYmlKUXZWcU9qWXRlUFJXR0pVRF9FWWh6N0djLWJ4ZFE5c0NNNW9ZR1RTa3RGdEttdUFiLTVCRnRVQm5VVGl5eUtYMUxTTWpOZXlIMjFkVWpTamxqY0JFM2lYenNnR2JwV24yN0Eyb0RsSk9aTktCZ3pvQXFJYjd2THozQ0IySUx5aEJrMVl5M3JlVjZ5ZTgzSFN0NTVBc2ZFNTRiR1FTaWJGajlKR2VOSnZFTjBCT0dRbFYtOUdSWkLSAdIBQVVfeXFMTlZxU0tZS2UzbzMzWkJTb1ZLWkVJYXo2SV91dE9IR0dkYlZ5d3JfdkZiOEFiVEdvX3BZV3JsNkRfbmdsem5YZUJtYTdvdHFwNUNlUGJrUE95eFdDQjNwbmp3d2IxNHZTZEtTV2gyQ1FjQzVyeVVPWG91YTZEMTlIS3NEVHh2UWVLa1NmMXZMazNsaG1GRHFhT01oZUFMT2pWSjQ4a0IzbGxiZEk0ZnFiM2czbE9UU3ZGbFlaMGpnQkw2V3hfbk9mQjNscHRIVEl6TlVB?oc=5,,"DEHRADUN: Godavari Devi, 55, was tilling her field during the peak of Covid wave in June 2021 when all of a sudden a leopard pounced on her and killed her. There are many more like her in Uttarakhand who either fell prey to big cats or fled their ancestral homes out of fear. 
According to the government's findings in 2018, the state has 700 ""ghost villages"" and leopards are only adding to the villagers' dilemma.
Leopard attacks have claimed most human lives (almost 60%) in the state in comparison to conflict with other animals in the past five years. As per forest department data, over a dozen human deaths occur every year due to such attacks.
In retaliation, more leopards have been killed than other beasts. Pokhra and Ekeshwar blocks of Pauri are among the worst affected. And Manjgaon, Bharatpur and Dabra villages in Pauri are ""completely empty"".
A group of villagers had reached out to CM 
Pushkar Singh Dhami
 in this regard about two months ago. Others filed a public interest litigation in the high court.
Sudhir Sundriyal, who moved out of the now ""empty"" Dabra village, said, ""I lost my aunt to a leopard attack. Her entire family migrated from Dabra. We know of many families which migrated from Pithoragarh, Almora and Bageshwar."" Founder of Bhalulagad Trust, Sundriyal also wrote to the CM on the matter. ""Big cats often disrupt farming activities, education and economic growth of a village. Human-wildlife conflict has been among the top five reasons for migration in the state,"" said Monika Devi, a resident of Manjhgoan in Pauri Garhwal.
Dileep Chauhan, 42, who hailed from Almora but now relocated to Indore, told TOI, ""We moved out of Almora after my father's retirement due to fear of wild animals. There is hardly any scope of farming because of poor market connectivity. Also, the farmlands there are frequently invaded by wild animals, mainly leopards.""
A resident of Pithoragarh added, ""After hearing about children being snatched away by leopards in remote villages, we are forced to leave our homes.""","success(trafilatura, resolved_via_decode, 2035 chars)"
"Brown bear damage property, livestock in Drass - voiceofladakh.in",2021-06-20,Ladakh,,Himalayan Brown Bear,Livestock Attack,0,0,0,Brown bear caused damage to property and livestock in Drass.,0.9,single_incident,,voiceofladakh.in,https://news.google.com/rss/articles/CBMihgFBVV95cUxNMjZleU1XOHRwTjkwcmVsdjRCY0tXQzQ3NEJKVk1SVUFUS3NRM3ZxdVJyX0RsQ25GTTN6M0JRQXJ1MVJUZXlab3R5QmRXTjEwQjl2aTJVRlRHMHRsYnpueGgxNW5ZM1o5MWVpajJ2ME50TzNiaVAxV1hqOHhJclFDOHI5WmV0dw?oc=5,,"Brown bear damage property, livestock in Drass
KARGIL, JUNE 19, 2021: Brown bears break into animal sheds and storerooms causing damage to livestock and stored food items in different hamlets of Drass, reported Murtaza Agha, a social activist from the area, in a number of tweets.
The bear attack has become a routine that compels the villagers to safeguard livestock and property even at night. In his first tweet, Murtaza said that the villagers have to safeguard their livestock throughout the night. The attack caused damage to property, and livestock every day. Tagging the Lieutenant Governor office tweeter handle and Deputy Commissioner Kargil Santosh Sukhadeve, Murtaza tweeted, “We seek Hn (Hon’ble) @lg_ladakh intervention to end this menace and implement a policy before it turns into a tragedy”.
When probably received no response from the local administration Murtaza Agha tagged Indian Forest Service officer Ramesh Pandey. “…We have a serious problem of brown bear attack, damaging livestock sheds, killing animals even danger to humans also. This place is called Drass in Ladakh. The govt hasn’t played any role to save livestock as well as the rare brown bear”.
“We stand guard whole night in fear of brown bear attack. They come for food, break in store rooms, eat all the stored food. It’s now have become a habit. People will kill the cubs or bear if it lasts this way for long. Request your intervention if possible.”
As per a tweet by Murtaza, the number of brown bears in the area is around 20. Pertinent to mention that brown bear attacks had reported many times in the last few years. The bear appears for the first time in the month of April every year, people threaten and chase them too far places that normally do not return for months.
However, two months earlier, a bear that had two cubs break into a store at Bhimbat where the two cubs stuck inside and the mother bear escaped. In the incident, one cub disappeared and another rejoined her mother. For the last two months, the mother bear with her cub has not left the village causing damage to property on daily basis.
Last night, the bear break inside the storeroom annexed to Murtaza’s house. In another incident, the cub had come inside the bedroom. In such a case, the villagers are fearing for their babies and children.
Another person from the village said that in another incident of brown bear attack goats, sheep, and hens of a poor household had damaged. The livestock was partially their source of livelihood. Last year, a bear had killed a cow at Murtaza’s place. On average on daily basis four-five poultry get killed.
The bear attack is a major concern in Bhimbat, Biaras, Thongos, Chokyal, Muradbagh, Goshan, and Matayin. People set fire and smoke in the house vicinity to prevent attacks but it seems that this has become a new normal for the bear also, that does not scare her anymore.
In a telephonic interview with VoL correspondent, Wild Life Department staff at Drass Khadim Hussain said that the sub-office has reported the issue to district headquarter at Kargil.
Wildlife warden in Kargil Raza Ali said that his office provides compensation to the farmers who lose livestock like cows, goats, and sheep in such attacks. However, there is no provision for compensation for poultry loss. As per sources from Drass, the major loss has been made to poultry.
Khadim further said that the compensation against claims received in the year 2020 has been paid off while there are around 15 claims received to date in 2021 that will be paid off by the end of the year.
Warden Raza Ali said that some problematic bears are located in these areas but to stop its attack on livestock we need to keep them in a rescue center for some time which is not available now. However, the department has already taken up the issue with higher authorities since last year. Funds have already been approved for the development of the rescue center but the land is not allotted yet. Whenever we get a suitable place for its establishment, it will be developed.
“For time being we are taking various measures like consistent patrolling, use of crackers, lights, and wires”, Raza Ali added.
On asking why the bear damage poultry livestock in villages, the Wild Life warden said that it has two potential causes, firstly, due to the non-availability of enough food to eat. For which the department has grown plants that bear-like to intake. Second, their presence has been increased due to food conditioning. They have become habitual of eating livestock. Raza Ali further informed that in 1861 a foreign researcher has recorded Drass as a place that has an abundance of “Red Bear”. Actually, he meant Brown Bear but he replaced it with brown.","success(trafilatura, resolved_via_decode, 4723 chars)"
Minor Girl Injured in Jackal Attack in Jammu Kashmir - Kashmir Life,2025-04-19,Jammu Kashmir,,Jackal,Human Injury,0,1,0,Minor girl injured in jackal attack.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMijAFBVV95cUxQLUFiRUhuNW9wSEw3dHRpc3AxdEYzdEp5TnktVXo3ajVqZ2NZd2k0cEdnd0hXcjNNZi1EcmVOckhEU09pdElHNlBYSFlNcFJ0di1UYXgwcVRlajFaSUxvM3dJZUItbzgwRGRmQUM4LWtqZTl6eVBlR21pSjVGX0dkdFk3aExvZl9QbHE2UA?oc=5,,"SRINAGAR: A minor girl was injured in a wild animal attack in the Sawjian area of Poonch district on Saturday.
An official said that the incident occurred in Cholla village of Sawjian sector when a wild jackal entered the house and attacked the child.
The injured girl’s name withheld, daughter of Sakinder Ahmed, aged around 5–6 years, was immediately shifted to hospital. After receiving first aid with some stitches, she was discharged, the official said.
The attack created panic in the area, prompting locals to urge authorities to address the growing threat of wild animals in residential zones. (JKNS)","success(trafilatura, resolved_via_decode, 608 chars)"
Three Injured In Wild Bear Attack in South Kashmir - Kashmir Life,2026-09-09,Jammu Kashmir,,Himalayan Brown Bear,Human Injury,0,3,0,Three injured in wild bear attack.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMiigFBVV95cUxNazVRcERkamp1ZWo2UlM4NF91MDFRWGx6MnpRRF9Wd1hVODFzeEFWZTJZYXMtTWM5anBoT3lISzBRNFNMUVZTSkxiVmtPQk1YYUJsM25RTEhfUjRESjduTUZ6eGlDSjZ1ckFwUDJkN0t6dW9oZVowcGNNU3NvVzZhb0F2dG9ZYWlNOHc?oc=5,,"SRINAGAR : Three women were injured after being attacked by a wild bear in the Batfujan area of Keller in south Kashmir’s Shopian district on Wednesday, officials said.
Quoting an official the news agency KNO reported that the women were attacked by the wild animal while they were in the Batfujan area.
He said the injured were immediately shifted to a hospital for treatment. They were identified as Maroofa Akhter, Firdoosa Akhter and Nusrat Gulzar, all residents of Batfujan.
Their condition is stated to be stable.
Meanwhile, further investigation into the incident has been taken up.","success(trafilatura, resolved_via_decode, 589 chars)"
"Woman injured in bear attack in Tral, hospitalised - Kashmir News Observer",2026-09-11,Jammu Kashmir,,Himalayan Brown Bear,Human Injury,0,1,0,Woman injured in bear attack.,0.98,single_incident,,Kashmir News Observer,https://news.google.com/rss/articles/CBMirAFBVV95cUxNb3hNMmphRjBaLUZLcWJScEFXeDltNmRWMDU5LUpGQTh4cU1aNXp4OFFSZGFfSnlCN2hwMURCOEM1RXV4R2Fuc1hxZEtYLXI1X1V5cXdac1hjcFNWTGdtSjhKNVV3MGM2UWZkakk2MVZqeWxfMmZ5QnZfUUhTTXJJQWM2b1dtX09yRzIzT3pFYXV6RHMwOVg1Mk9qWm1MejZwZENPZVhhUmxiSkhH?oc=5,,"Srinagar, Sep 11 (KNO): A woman was injured after being attacked by a bear in the Handoora area of Tral in south Kashmir’s Pulwama district on Friday. An official told the news agency—Kashmir News Observer (KNO) that the woman was attacked by the wild animal in Handoora, leaving her injured. He said that she was soon shifted to Sub-District Hospital (SDH) Tral for treatment and was later identified as Hajra Begum, wife of Ghulam Ahmad Khan and a resident of Handoora. Meanwhile, locals have urged the Wildlife Department to take immediate preventive measures amid increased bear movement in the area.—(KNO)","success(newspaper3k, resolved_via_decode, 610 chars)"
Two injured in separate bear attacks in J&K's Banihal - Greater Kashmir,2021-07-04,Jammu Kashmir,,Himalayan Brown Bear,Human Injury,0,2,0,Two injured in separate bear attacks.,0.98,single_incident,,Greater Kashmir,https://news.google.com/rss/articles/CBMingFBVV95cUxPeDZDTUtVdmZueHZMQ2t2ZkNMTVdMZEs1VmhHWkFyVklIbUJTY1ZvQkNsUHBkSDFaZDdlRW9uSXBoYUpScHpLaVRJRXMtSXJUVHNSbENodEFLb1dwWmhiQVFBQWtyX2psaEF1RU4tM1Z0NjFadmtmd20zc2U4SWpZS3UwSFhwQ2xidGFJaTJ4VkdVMHVqYXdrRExGbElLZ9IBogFBVV95cUxNb2FjY3pNSzdzZUFPdFc5dWhCaWtlSmkxamxZY1poSEoxcDZtWHBCeHpGbVlrcnBUN3ZuSE1sRjNyLVd4V1hLN0ZlYTFWMjJudlRlampxRzF4clhqN3R6RVRpaHZGZGZLa1owZzF0S21STTh2akVxUHFfTVYyVUtqMTlUNnNWbDlVbFg5UmVGc0ZKNTEtQkRpWGJRalEzVnQ1ZkE?oc=5,,"Banihal , July 4 : Two persons including a woman were injured in two separate bear attacks in Banihal area of Ramban district on Sunday.
Both the injured have been shifted to Emergency Hospital Banihal from where the man was referred to GMC Anantnag in view of his critical injures in the attack.
Officials told Greater Kashmir that the first incident took place in the Chapnari Guddar area of ​​Banihal on Sunday noon when, Wazeera Begum, a local woman walking near her house was attacked by a wild bear that appeared from nearby bushes.
The woman received injuries but was rescued by nearby villagers.
She was shifted to Emergency Hospital for treatment.
In the second attack, a nomadic Bakarwal was also attacked and injured seriously by a wild bear Sunday afternoon when he was grazing his sheep and goats in upper reaches of Kharpora Banihal.
The injured Bakarwal was identified as Mohammad Sharief son of Dawood Bakarwal, a resident of Kothi Jagir in Tehsil and district Ramban.
Volunteers from Banihal Volunteers group rushed the critically injured Bakarwal to Banihal Hospital from where he was shifted to Government Medical College Anantnag in view of his critical condition.
In-charge Wildlife Control Room Banihal Najamu Din Nayak told Greater Kashmir that after the two incidents of wild attacks, Wildlife teams from Banihal and Khari were dispatched to Chapnari and Kharpora upper reaches to drive wild beasts away from the area to avoid more wild and human confrontation.
He said compensation cases from wildlife department in favour of both wild animal attack victims are being prepared.","success(trafilatura, resolved_via_decode, 1602 chars)"
Jackal Leaves Three Persons Injured - Kashmir Life,2021-02-01,Jammu Kashmir,,Jackal,Human Injury,0,3,0,Jackal leaves three injured.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMidkFVX3lxTE4xZmVQUDVZRmo5Zy1YekZ6MERTWk1JU1lBNzl3N2RsRENSRmVQZHhuSTVPc0pXQlMwaWM0bnVMQTJvb1hKTWEzWm81eWRjdzYtM0RPTjAwcS1jTk5ySjZRcndDZlBmZl9DWFozR1lBVmctV25VY0E?oc=5,,"SRINAGAR: Three persons were injured after a jackal attacked them in broad daylight by entering a residential house in Haril area of north Kashmir’s Kupwara district.
Reports said that the trio were inside a residential belonging to one Abdul Majid Wani at Haril, Langate area when attacked by the beast this afternoon.
Identifying the injured persons as, Abdul Majeed Wani son of Abdul Khaliq Wani, Umar Majeed son of Abdul Majeed Wani and Najma Bano daughter of Abdul Majeed Wani, a medical official at DH Handwara said that they have received three patients with different bodily injuries.
“All of them are out of danger and responding well to the treatment,” news agency the official added.","success(trafilatura, resolved_via_decode, 694 chars)"
Jackal Attack Injures Five In Kashmir - Kashmir Life,2023-05-11,Jammu Kashmir,,Jackal,Human Injury,0,5,0,Jackal attack injures five.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMieEFVX3lxTFAtSHRjdDlvbXFRdHFIWE5tOVZ2Uk5Xd0tyQWwwOG0zME1GWnNyMkdVdmNDX1VvWi1xVjg5LUo2bkpmMzRqWnpPZlJVNTB5NzhvLUtvaWR5V3ZESXVaaHNLTHAxOG1tUEZSU1h0SVNmRDFKWUJnRWRDZA?oc=5,,"SRINAGAR: At least 5 persons were injured after being bitten by a jackal in Tarzoo area of Sopore in north Kashmir’s Baramulla district on Thursday.
An official said that a jackal appeared in the village and bit at least 5 persons.
He said that soon after the incident, the injured were admitted to a nearby hospital for treatment. “The condition of all the injured is stable,” he said.
The locals, however, alleged that they had already informed the department concerned about the wild animal roaming in the area but no action was taken.
Meanwhile, wildlife officials have advised the residents to stay cautious while working in orchards or areas where wild animals roam freely. (KNO)","success(trafilatura, resolved_via_decode, 685 chars)"
2 injured in bear attack in Shopian - Greater Kashmir,2021-08-05,Jammu Kashmir,,Himalayan Brown Bear,Human Injury,0,2,0,Two injured in bear attack.,0.98,single_incident,,Greater Kashmir,https://news.google.com/rss/articles/CBMigwFBVV95cUxOcENuUDRHOVllYmNyekstUG44NC1mQ1g3YmhKeVdMWTdHeTNSVGROSFR4RGN5YV9fTVVXUHA4VFZhSHJXYTVXZVVNbmRfbU9LWFVQY3pqWmgyYUlfLWN5Z0xlQm5lQVhEeVoxRU5aTGxROXNoNXZ6YWY4Q2hOZkVfWVRRMNIBhwFBVV95cUxOc1pzc2xzSTA3c0o1aDFMbWEyeFlCZ0ctQnQ5SDB6RjZQZ25Xa0RMdXhZNFZLTFZlRHZxTDV2WDY3ZVMyMm14eVpDWTBWQnp1TGtZRUhQRWt2V0NfWEM5WE5aMVZnNVI3ajdOSUxuR2tnSXRENVpHdldJNVYtQU1jOXpySjVfVms?oc=5,,"Shopian, Aug 5: Two persons including a Wildlife official were injured in a bear attack in Chitarwach Imam Sahab village of south Kashmir’s Shopian district on Thursday.
An official said that the locals in Chitrawch village, some 12 km from Shopian town, spotted a black bear in the area and immediately alerted the Wildlife department.
He said that a team was dispatched to the area to capture the animal.
According to the official, as the team showed up in the area, it came under the attack of the bear, leaving a Wildlife official injured.
“Earlier, in the morning, the bear attacked a local and caused grievous injury to him,” the official said.
“The injured were immediately rushed to the nearby hospital for treatment,” he said.
The injured official was identified as Irfan Ahmad Parray of Zawoora.
The official said that the bear was finally captured by the Wildlife officials and would be released into the wild.
Since winter, many incidents of wild animals straying into local habitations have been reported from Shopian wildlife division comprising Shopian and Pulwama districts.","success(trafilatura, resolved_via_decode, 1090 chars)"
Leopard Captured After Attacking Elderly Man In Jammu And Kashmir - NDTV,2022-09-26,Jammu Kashmir,,Leopard,Human Injury,0,1,0,Leopard captured after attacking elderly man.,0.98,single_incident,,NDTV,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWWlGaDIwTnd2Qk9qVDJkeVRnMjBvUTNJUDU4eWdkNE5PM091a1BRaFdvSXNvT2hObDBidUhGd0NraDVNOF9ZVWxOTmRhQm1uaThqSjdVOVUtSGltWHNhREtyRDI1al9VMXcyLW1mTlhPVWg0cjdpRXlVUHRjenRVSXczcUNWUVYzbm1neFdDMkltS003VkRwcmFLLWxtM3RraW9GLXN6T3rSAbABQVVfeXFMUG04UlZ5OUZQS0ZEUmoxRlpVNS01am95LV9pTFVWQjdnVFRDUnB4a19uMExfNWNHNnN3MTYxeVBqNWQzU2xNTUVPRXh4VzBWbG1hMU11TktsWG1QOEhBZUdVdWpLeTZ4dkY5X0E4eHh1WVlvb0lWaUljNXpfTTEzbU03ZmhBZXJ0M29mYzdnZ19GMFhHb0l1TGhPbDJOd1N3Z1cyNER5by15NkhiUEpzMnA?oc=5,,,extraction_failed(page_fetch_failed after resolved_via_decode)
Minor boy killed in leopard attack in Kupwara - Rising Kashmir,2022-10-09,Jammu & Kashmir,,Leopard,Human Death,0,0,1,Minor boy killed in leopard attack.,0.98,single_incident,,Rising Kashmir,https://news.google.com/rss/articles/CBMifEFVX3lxTE12Q0NwSkl2NXBycW9oaVVlRDBGMzdVOFQwaEJRclAyR21ZdzRTUFNja2Rrak42N1ROZmhwOG5VaEZfTGN0RWVFa0FNWkw0VEszdFdlemsxZ1U3Q2Z1dlNhcFg1TUp2LURqMWNMdnVoRnYwa2o2bURnMUREZmg?oc=5,,"A minor boy was killed in a leopard attack in Rajwara area of north Kashmir’s Kupwara district o Sunday.
Official sources told that the wild animal attacked the boy at Golipora Rajwar this evening and took him towards a nearby jungle.
Family and locals immediately launched searches and recovered the boy, Yasir Ahmad Jinder (5) son of Bashir Ahmad Jinder, in severely injured condition. Even though family and locals shifted him to NTPHC (New Type Public Health Centre) Behnipora, the doctors declared him brought dead on arrival, they added. (GNS)","success(trafilatura, resolved_via_decode, 549 chars)"
Leopard Kills 3 Children In Jammu And Kashmir - NDTV,2022-06-14,Jammu & Kashmir,,Leopard,Human Death,0,0,3,Leopard killed three children.,0.98,single_incident,,NDTV,https://news.google.com/rss/articles/CBMijgFBVV95cUxObDhpYkdldnJsTVEzZUVpUUE1YXFld1doYUUxcldjUXZSNllGVm1xS3NsRm1tSHlIYXdfMDVMcnd3QUtuSFhEWVRqdkFWREJ4aWFkc0FBVjRfM0g3NGRockhLX09DU3Jtb2xUOUZJWW5IbEFTcUtwY3RERzJwVkhjX0M0WXc2cGRmRXN6ZGtB?oc=5,,,extraction_failed(page_fetch_failed after resolved_via_decode)
